z,x,y
230,87,141
646,87,175
585,106,36
728,69,103
135,92,136
527,74,134
652,82,49
331,109,75
158,87,94
730,102,136
302,71,141
446,105,60
770,95,133
150,58,151
100,68,140
582,107,179
728,115,42
629,78,80
62,59,106
663,92,125
680,94,168
781,77,102
214,106,143
372,87,48
452,93,77
535,82,83
597,89,45
595,91,156
198,119,166
121,81,143
565,99,160
115,70,127
621,87,148
516,60,145
308,70,134
237,114,88
84,87,145
645,70,109
721,94,132
120,84,155
178,95,124
228,36,141
48,52,158
74,76,93
269,77,143
248,86,81
182,93,142
712,94,89
693,77,125
518,86,49
761,54,146
107,78,102
96,85,137
651,85,97
269,70,77
371,99,45
433,100,160
425,80,72
503,85,56
244,94,136
539,109,175
323,82,81
132,72,62
187,81,136
304,75,143
542,88,128
309,70,155
749,77,129
573,83,68
354,90,44
107,62,148
483,111,178
331,70,118
90,95,79
770,77,88
474,123,173
77,96,78
772,70,139
66,73,76
783,76,62
329,113,50
648,89,153
782,62,124
465,74,134
682,77,136
784,106,81
578,110,159
426,80,99
7,86,156
344,95,186
230,81,133
779,85,132
246,77,84
338,104,47
747,74,88
567,89,138
444,106,53
691,71,131
214,70,77
483,99,179
774,67,91
717,82,182
566,81,82
730,101,92
248,90,133
259,93,92
526,94,159
192,73,70
182,81,140
430,76,134
106,99,82
272,66,137
9,47,151
652,93,62
391,82,113
677,77,56
614,89,95
264,53,152
472,83,127
589,85,57
104,60,75
71,105,169
514,90,114
478,101,62
764,70,65
52,112,137
312,69,127
225,88,80
359,91,187
560,94,165
449,80,74
552,42,58
428,99,92
636,84,175
369,79,92
365,109,59
282,101,146
230,67,149
651,41,54
438,116,50
136,78,140
275,84,64
451,95,181
501,82,139
744,88,69
613,98,150
466,112,53
181,60,75
164,69,69
730,79,132
596,90,154
399,90,159
689,74,112
332,92,129
761,69,120
497,105,49
292,100,135
70,46,165
77,66,45
732,73,76
630,78,128
55,20,85
313,71,153
9,77,139
402,86,57
318,65,138
99,76,149
670,105,81
226,64,82
548,99,160
464,100,53
630,73,137
452,118,59
183,83,90
757,68,141
265,86,129
676,83,169
537,74,109
681,78,91
747,67,143
360,122,167
431,94,80
373,105,57
108,60,66
151,80,71
648,85,65
789,65,148
293,73,158
347,89,100
59,78,75
82,68,79
453,88,179
660,66,108
128,77,79
172,87,73
672,105,167
162,88,153
163,88,112
251,53,79
712,73,131
452,99,161
449,92,61
709,85,135
140,69,80
682,83,84
636,67,148
258,80,52
127,76,148
26,78,81
683,81,153
509,74,126
167,83,87
191,93,89
133,70,151
86,61,138
362,111,183
786,76,89
383,90,73
744,98,131
32,39,63
429,88,130
212,54,71
312,71,138
394,88,165
108,47,144
309,72,100
143,62,142
427,77,161
99,92,144
752,68,105
91,72,83
119,73,87
642,76,132
181,70,79
31,98,77
421,88,138
131,104,134
719,65,145
125,46,70
635,68,86
768,72,92
728,68,147
376,87,73
407,99,187
673,96,67
649,87,46
399,84,81
201,79,80
254,86,78
287,71,147
449,98,61
264,97,87
757,73,96
183,66,146
380,41,156
167,87,73
655,61,57
674,73,112
71,70,131
484,107,42
503,75,116
549,91,40
269,38,67
683,97,62
126,94,139
287,74,78
191,92,68
526,79,116
35,99,95
773,96,83
363,97,62
705,74,147
113,86,112
300,58,111
160,71,158
65,100,126
523,76,135
679,98,72
652,93,57
745,75,122
326,102,39
758,65,142
542,85,103
732,75,66
527,78,172
1,69,80
75,111,138
657,50,157
328,56,78
613,89,145
82,95,91
92,62,152
40,81,47
75,124,71
267,50,154
493,85,118
41,35,32
569,94,122
775,83,121
341,86,141
633,77,135
733,86,133
82,84,63
521,88,165
448,113,49
534,69,149
131,52,59
282,88,140
86,75,83
666,91,139
656,25,141
29,90,98
310,106,147
786,73,94
437,104,29
261,76,90
738,65,105
565,32,172
485,95,75
687,68,90
212,94,101
575,84,72
720,47,145
775,73,95
780,76,90
101,78,73
771,74,140
622,85,179
548,73,139
417,96,44
96,82,139
147,64,137
340,93,141
259,98,104
334,78,143
471,95,141
415,104,179
766,62,77
730,110,192
463,109,191
260,69,151
295,83,97
70,78,87
298,108,84
538,75,154
325,81,129
225,87,101
599,81,74
666,72,84
62,73,111
278,50,154
585,86,149
110,55,76
455,112,182
453,110,51
237,72,122
370,98,52
115,89,144
569,110,154
317,75,151
148,103,90
133,106,95
180,90,130
788,83,92
626,80,85
162,75,111
336,105,185
516,81,140
365,102,77
465,110,161
404,112,48
186,65,81
485,115,171
663,67,73
