,z,x,y,population_key
301,444,109,47,V2a_Cord1
302,444,108,48,V2a_Cord1
303,444,111,36,V2a_Cord1
304,444,110,36,V2a_Cord1
305,444,106,46,V2a_Cord1
306,444,103,48,V2a_Cord1
307,444,105,41,V2a_Cord1
308,444,90,34,V2a_Cord1
309,446,115,156,V2a_Cord1
310,446,118,51,V2a_Cord1
311,446,118,42,V2a_Cord1
312,446,109,61,V2a_Cord1
313,446,102,75,V2a_Cord1
314,446,114,49,V2a_Cord1
315,446,109,58,V2a_Cord1
316,446,116,174,V2a_Cord1
317,446,99,84,V2a_Cord1
318,446,105,154,V2a_Cord1
319,446,108,51,V2a_Cord1
320,446,104,33,V2a_Cord1
321,446,105,55,V2a_Cord1
322,446,102,32,V2a_Cord1
323,446,105,49,V2a_Cord1
324,446,96,81,V2a_Cord1
325,446,99,147,V2a_Cord1
326,446,111,169,V2a_Cord1
327,446,110,167,V2a_Cord1
328,446,94,81,V2a_Cord1
329,446,99,66,V2a_Cord1
330,446,96,94,V2a_Cord1
331,446,108,167,V2a_Cord1
332,446,112,182,V2a_Cord1
333,446,97,53,V2a_Cord1
334,446,90,79,V2a_Cord1
335,446,93,135,V2a_Cord1
336,446,95,59,V2a_Cord1
337,446,97,146,V2a_Cord1
338,446,89,29,V2a_Cord1
339,446,92,56,V2a_Cord1
340,446,87,29,V2a_Cord1
341,446,91,66,V2a_Cord1
342,446,105,164,V2a_Cord1
343,446,107,170,V2a_Cord1
344,446,90,95,V2a_Cord1
345,446,82,84,V2a_Cord1
346,446,103,163,V2a_Cord1
347,446,89,95,V2a_Cord1
348,446,104,168,V2a_Cord1
349,446,79,84,V2a_Cord1
350,446,101,158,V2a_Cord1
351,446,95,148,V2a_Cord1
352,446,89,99,V2a_Cord1
353,446,103,169,V2a_Cord1
354,446,86,94,V2a_Cord1
355,446,101,165,V2a_Cord1
356,446,84,132,V2a_Cord1
357,446,87,140,V2a_Cord1
358,446,89,143,V2a_Cord1
359,446,103,193,V2a_Cord1
360,446,81,129,V2a_Cord1
361,446,82,94,V2a_Cord1
362,446,78,137,V2a_Cord1
363,446,93,153,V2a_Cord1
364,446,66,80,V2a_Cord1
365,446,76,140,V2a_Cord1
366,446,93,176,V2a_Cord1
367,446,87,182,V2a_Cord1
368,446,85,177,V2a_Cord1
369,448,111,151,V2a_Cord1
370,448,110,89,V2a_Cord1
371,448,112,162,V2a_Cord1
372,448,112,164,V2a_Cord1
373,448,115,171,V2a_Cord1
374,448,117,178,V2a_Cord1
375,448,115,174,V2a_Cord1
376,448,114,172,V2a_Cord1
377,448,112,169,V2a_Cord1
378,448,114,175,V2a_Cord1
379,448,114,36,V2a_Cord1
380,448,109,166,V2a_Cord1
381,448,100,153,V2a_Cord1
382,448,112,171,V2a_Cord1
383,448,110,169,V2a_Cord1
384,448,91,140,V2a_Cord1
385,448,100,157,V2a_Cord1
386,448,110,187,V2a_Cord1
387,448,106,165,V2a_Cord1
388,448,87,141,V2a_Cord1
389,448,109,189,V2a_Cord1
390,448,105,196,V2a_Cord1
391,448,86,136,V2a_Cord1
392,448,92,79,V2a_Cord1
393,448,106,47,V2a_Cord1
394,448,98,160,V2a_Cord1
395,448,104,48,V2a_Cord1
396,448,106,39,V2a_Cord1
397,448,89,79,V2a_Cord1
398,448,102,52,V2a_Cord1
399,448,101,191,V2a_Cord1
400,448,77,141,V2a_Cord1
401,448,99,55,V2a_Cord1
402,448,74,146,V2a_Cord1
403,448,98,28,V2a_Cord1
404,448,90,100,V2a_Cord1
405,448,88,97,V2a_Cord1
406,448,78,81,V2a_Cord1
407,448,94,49,V2a_Cord1
408,448,84,116,V2a_Cord1
409,448,90,54,V2a_Cord1
410,448,83,93,V2a_Cord1
411,448,86,190,V2a_Cord1
412,448,87,60,V2a_Cord1
413,448,72,83,V2a_Cord1
414,448,71,87,V2a_Cord1
415,448,61,137,V2a_Cord1
416,448,48,153,V2a_Cord1
417,448,69,64,V2a_Cord1
418,448,68,60,V2a_Cord1
419,448,61,91,V2a_Cord1
420,450,115,152,V2a_Cord1
421,450,115,163,V2a_Cord1
422,450,113,191,V2a_Cord1
