,z,x,y,population_key
222,471,100,200,V2b_Cord1
223,471,98,73,V2b_Cord1
224,471,97,129,V2b_Cord1
225,471,98,72,V2b_Cord1
226,471,92,80,V2b_Cord1
227,471,96,196,V2b_Cord1
228,471,92,175,V2b_Cord1
229,471,87,143,V2b_Cord1
230,471,87,140,V2b_Cord1
231,471,90,129,V2b_Cord1
232,471,89,171,V2b_Cord1
233,471,86,91,V2b_Cord1
234,471,114,50,V2b_Cord1
235,471,85,93,V2b_Cord1
236,471,84,84,V2b_Cord1
237,471,85,94,V2b_Cord1
238,471,82,83,V2b_Cord1
239,471,80,145,V2b_Cord1
240,471,87,104,V2b_Cord1
241,471,87,117,V2b_Cord1
242,471,74,137,V2b_Cord1
243,471,77,123,V2b_Cord1
244,471,80,71,V2b_Cord1
245,471,73,99,V2b_Cord1
246,471,70,129,V2b_Cord1
247,471,71,125,V2b_Cord1
248,471,70,102,V2b_Cord1
249,471,69,103,V2b_Cord1
250,471,68,103,V2b_Cord1
251,471,61,81,V2b_Cord1
252,473,117,168,V2b_Cord1
253,473,107,159,V2b_Cord1
254,473,102,187,V2b_Cord1
255,473,106,170,V2b_Cord1
256,473,106,161,V2b_Cord1
257,473,102,181,V2b_Cord1
258,473,90,195,V2b_Cord1
259,473,91,190,V2b_Cord1
260,473,78,192,V2b_Cord1
261,473,87,185,V2b_Cord1
262,473,98,153,V2b_Cord1
263,473,95,151,V2b_Cord1
264,473,100,132,V2b_Cord1
265,473,72,180,V2b_Cord1
266,473,94,148,V2b_Cord1
267,473,83,165,V2b_Cord1
268,473,91,135,V2b_Cord1
269,473,88,140,V2b_Cord1
270,473,100,77,V2b_Cord1
271,473,83,154,V2b_Cord1
272,473,107,70,V2b_Cord1
273,473,98,74,V2b_Cord1
274,473,93,98,V2b_Cord1
275,473,91,98,V2b_Cord1
276,473,95,73,V2b_Cord1
277,473,89,89,V2b_Cord1
278,473,80,131,V2b_Cord1
279,473,88,92,V2b_Cord1
280,473,81,128,V2b_Cord1
281,473,85,118,V2b_Cord1
282,473,86,106,V2b_Cord1
283,473,119,66,V2b_Cord1
284,473,113,69,V2b_Cord1
285,473,84,85,V2b_Cord1
286,473,115,69,V2b_Cord1
287,473,88,73,V2b_Cord1
288,473,74,120,V2b_Cord1
289,473,104,73,V2b_Cord1
290,473,73,111,V2b_Cord1
291,473,71,96,V2b_Cord1
292,473,113,76,V2b_Cord1
293,473,65,100,V2b_Cord1
294,473,101,79,V2b_Cord1
295,473,65,110,V2b_Cord1
296,473,59,86,V2b_Cord1
297,475,108,94,V2b_Cord1
298,475,124,178,V2b_Cord1
299,475,108,149,V2b_Cord1
300,475,103,99,V2b_Cord1
301,475,103,143,V2b_Cord1
302,475,118,186,V2b_Cord1
303,475,112,169,V2b_Cord1
304,475,101,134,V2b_Cord1
305,475,106,162,V2b_Cord1
306,475,112,187,V2b_Cord1
307,475,96,147,V2b_Cord1
308,475,96,144,V2b_Cord1
309,475,100,165,V2b_Cord1
310,475,104,197,V2b_Cord1
311,475,95,123,V2b_Cord1
312,475,94,124,V2b_Cord1
313,475,98,177,V2b_Cord1
314,475,89,142,V2b_Cord1
315,475,104,31,V2b_Cord1
316,475,89,148,V2b_Cord1
317,475,89,155,V2b_Cord1
318,475,91,104,V2b_Cord1
319,475,96,27,V2b_Cord1
320,475,92,25,V2b_Cord1
321,475,86,112,V2b_Cord1
322,475,86,87,V2b_Cord1
323,475,85,113,V2b_Cord1
324,475,83,125,V2b_Cord1
325,475,80,141,V2b_Cord1
326,475,84,107,V2b_Cord1
327,475,84,92,V2b_Cord1
328,475,85,30,V2b_Cord1
329,475,78,159,V2b_Cord1
330,475,81,116,V2b_Cord1
331,475,78,120,V2b_Cord1
332,475,81,83,V2b_Cord1
333,475,80,116,V2b_Cord1
334,475,75,38,V2b_Cord1
335,475,76,108,V2b_Cord1
336,475,75,93,V2b_Cord1
337,475,70,123,V2b_Cord1
338,475,72,104,V2b_Cord1
339,475,63,118,V2b_Cord1
340,477,115,170,V2b_Cord1
341,477,115,182,V2b_Cord1
342,477,105,151,V2b_Cord1
343,477,115,186,V2b_Cord1
344,477,112,193,V2b_Cord1
345,477,110,193,V2b_Cord1
346,477,108,191,V2b_Cord1
347,477,101,201,V2b_Cord1
348,477,102,168,V2b_Cord1
349,477,92,200,V2b_Cord1
350,477,121,54,V2b_Cord1
351,477,100,76,V2b_Cord1
352,477,101,72,V2b_Cord1
353,477,96,80,V2b_Cord1
354,477,91,133,V2b_Cord1
355,477,116,50,V2b_Cord1
356,477,93,90,V2b_Cord1
357,477,115,47,V2b_Cord1
358,477,80,155,V2b_Cord1
359,477,106,56,V2b_Cord1
360,477,85,118,V2b_Cord1
361,477,118,38,V2b_Cord1
362,477,78,129,V2b_Cord1
363,477,77,131,V2b_Cord1
364,477,82,94,V2b_Cord1
365,477,81,104,V2b_Cord1
366,477,83,84,V2b_Cord1
367,477,81,100,V2b_Cord1
368,477,75,124,V2b_Cord1
369,477,78,103,V2b_Cord1
370,477,77,104,V2b_Cord1
371,477,79,97,V2b_Cord1
372,477,89,63,V2b_Cord1
373,478,113,195,V2b_Cord1
374,478,115,185,V2b_Cord1
375,478,111,195,V2b_Cord1
376,478,114,34,V2b_Cord1
377,478,98,74,V2b_Cord1
378,478,105,193,V2b_Cord1
379,478,100,65,V2b_Cord1
380,478,92,145,V2b_Cord1
381,478,96,78,V2b_Cord1
382,478,96,74,V2b_Cord1
383,478,94,81,V2b_Cord1
384,478,107,38,V2b_Cord1
385,478,98,64,V2b_Cord1
386,478,107,36,V2b_Cord1
387,478,96,192,V2b_Cord1
388,478,105,30,V2b_Cord1
389,478,102,25,V2b_Cord1
390,478,92,74,V2b_Cord1
391,478,90,132,V2b_Cord1
392,478,101,28,V2b_Cord1
393,478,99,47,V2b_Cord1
394,478,91,98,V2b_Cord1
395,478,89,78,V2b_Cord1
396,478,97,42,V2b_Cord1
397,478,78,187,V2b_Cord1
398,478,80,75,V2b_Cord1
399,478,82,107,V2b_Cord1
400,478,79,118,V2b_Cord1
401,478,80,105,V2b_Cord1
402,478,73,37,V2b_Cord1
403,482,99,75,V2b_Cord1
404,482,98,73,V2b_Cord1
405,482,107,182,V2b_Cord1
406,482,105,30,V2b_Cord1
407,482,104,30,V2b_Cord1
408,482,88,128,V2b_Cord1
409,482,95,174,V2b_Cord1
410,482,97,186,V2b_Cord1
411,482,88,109,V2b_Cord1
412,482,96,194,V2b_Cord1
413,482,94,194,V2b_Cord1
414,482,89,169,V2b_Cord1
415,482,89,180,V2b_Cord1
416,482,82,108,V2b_Cord1
417,482,85,172,V2b_Cord1
418,482,80,117,V2b_Cord1
419,482,72,101,V2b_Cord1
420,482,72,106,V2b_Cord1
421,482,70,140,V2b_Cord1
422,482,69,131,V2b_Cord1
423,482,69,130,V2b_Cord1
424,482,70,174,V2b_Cord1
425,482,59,79,V2b_Cord1
426,484,120,179,V2b_Cord1
427,484,115,174,V2b_Cord1
428,484,111,54,V2b_Cord1
429,484,111,172,V2b_Cord1
430,484,103,77,V2b_Cord1
431,484,99,148,V2b_Cord1
432,484,102,199,V2b_Cord1
433,484,102,61,V2b_Cord1
434,484,101,192,V2b_Cord1
435,484,98,158,V2b_Cord1
436,484,99,196,V2b_Cord1
437,484,97,163,V2b_Cord1
438,484,100,43,V2b_Cord1
439,484,91,155,V2b_Cord1
440,484,88,49,V2b_Cord1
441,484,88,92,V2b_Cord1
442,484,88,53,V2b_Cord1
443,484,87,91,V2b_Cord1
444,484,86,91,V2b_Cord1
445,484,86,102,V2b_Cord1
446,484,76,42,V2b_Cord1
447,484,85,109,V2b_Cord1
448,484,78,173,V2b_Cord1
449,484,76,172,V2b_Cord1
450,484,69,185,V2b_Cord1
451,484,75,171,V2b_Cord1
452,484,77,66,V2b_Cord1
453,484,78,109,V2b_Cord1
454,489,123,49,V2b_Cord1
455,489,113,64,V2b_Cord1
456,489,107,64,V2b_Cord1
457,489,101,156,V2b_Cord1
458,489,100,160,V2b_Cord1
459,489,102,56,V2b_Cord1
460,489,101,170,V2b_Cord1
461,489,109,36,V2b_Cord1
462,489,98,154,V2b_Cord1
463,489,98,191,V2b_Cord1
464,489,97,166,V2b_Cord1
465,489,100,53,V2b_Cord1
466,489,95,156,V2b_Cord1
467,489,103,42,V2b_Cord1
468,489,94,137,V2b_Cord1
469,489,99,98,V2b_Cord1
470,489,93,87,V2b_Cord1
471,489,89,151,V2b_Cord1
472,489,98,98,V2b_Cord1
473,489,95,98,V2b_Cord1
474,489,94,47,V2b_Cord1
