z,x,y
15,49,23
789,112,78
65,97,124
721,37,155
656,99,140
779,51,70
303,107,136
362,95,144
636,90,154
667,71,112
652,92,126
426,98,145
291,91,116
5,40,59
784,85,82
186,89,94
31,40,50
330,66,110
373,87,151
239,90,62
396,68,111
406,88,100
49,87,124
1,79,113
210,20,156
129,94,108
632,71,124
415,70,114
585,99,147
3,108,80
702,26,163
364,53,97
625,101,87
205,85,119
331,109,168
94,27,170
402,68,113
577,99,161
273,54,108
307,107,53
520,92,129
31,59,198
736,83,118
789,97,52
710,83,126
588,67,108
214,113,75
675,83,129
650,69,115
245,87,115
733,68,119
439,24,63
293,106,80
596,92,84
532,76,124
720,84,109
295,110,70
417,69,123
303,103,77
597,97,78
720,86,119
674,84,103
7,40,147
172,87,118
61,59,180
739,92,140
289,100,139
250,76,123
775,98,85
373,89,136
225,25,64
319,84,134
566,121,56
238,101,55
724,75,58
280,85,107
596,50,153
789,82,122
199,114,141
490,89,100
553,91,104
280,87,54
497,92,103
334,94,133
611,91,155
704,74,128
467,123,50
295,96,68
440,84,103
239,99,103
726,88,99
232,102,59
704,80,119
502,65,162
622,93,128
442,56,60
52,110,73
731,88,51
77,44,37
670,36,70
682,89,88
523,96,96
704,89,137
788,81,101
244,66,112
248,67,102
122,92,60
140,95,106
524,96,154
580,50,150
186,73,110
31,75,114
623,97,91
784,95,91
685,78,97
509,101,69
282,86,103
379,91,97
479,74,107
80,95,107
40,76,115
558,104,92
778,66,109
433,74,98
118,83,116
196,120,139
23,39,50
786,66,112
375,96,90
282,109,141
693,72,116
686,86,151
766,61,110
681,72,114
658,83,142
738,79,115
198,95,101
308,84,117
626,94,152
630,85,89
547,111,80
662,87,96
86,103,136
75,99,99
352,101,177
501,32,161
170,48,151
598,47,89
3,61,115
439,76,103
250,100,136
202,99,63
190,28,141
125,35,50
267,104,89
163,68,121
440,85,126
605,75,109
671,75,112
676,91,142
400,101,128
524,78,105
692,89,125
313,101,94
701,80,117
493,78,118
91,102,86
337,85,109
210,13,153
554,82,111
248,107,76
771,93,101
106,88,135
445,35,155
312,93,98
197,86,115
502,81,114
708,76,175
688,80,112
545,87,153
117,27,156
244,96,76
319,71,110
275,104,141
703,94,136
573,72,110
225,113,84
230,110,70
132,85,112
352,63,87
81,98,132
595,84,122
245,79,110
305,65,122
238,116,79
152,44,182
558,85,118
657,84,77
224,17,158
417,97,97
712,58,66
400,104,128
517,73,129
374,99,58
380,68,114
515,81,106
2,43,64
73,49,69
637,93,135
82,64,109
572,108,62
280,86,95
612,87,107
384,96,118
665,97,73
69,108,93
533,93,81
493,76,108
328,109,152
158,101,89
600,96,131
123,127,148
782,65,112
131,102,75
566,92,53
605,107,162
76,97,140
100,23,78
203,86,103
540,103,162
526,97,174
181,113,140
446,112,175
323,91,118
360,88,108
247,90,111
688,96,76
84,103,143
196,84,105
154,82,111
243,73,122
569,66,111
484,95,133
284,100,101
396,93,115
120,98,84
272,96,124
586,52,143
458,36,53
715,81,126
283,89,124
112,85,111
244,105,88
278,122,148
553,79,112
327,101,135
606,75,128
479,44,165
750,100,89
687,81,115
328,90,120
289,106,82
550,80,116
782,69,120
419,91,93
599,85,122
633,92,159
427,99,157
249,101,99
442,76,119
228,77,110
391,48,57
452,84,113
369,97,134
230,29,49
246,72,180
20,114,68
714,83,108
184,93,119
484,86,98
467,80,120
377,86,101
493,94,90
303,33,172
624,71,110
708,83,111
233,118,75
451,102,152
226,103,142
171,38,181
281,93,110
355,89,114
131,89,98
642,74,110
143,87,113
31,40,199
38,105,132
69,114,150
361,101,96
447,108,62
18,43,152
525,100,89
618,94,123
81,85,121
723,33,156
461,91,121
772,55,130
232,97,120
78,78,89
336,98,126
179,27,181
499,89,102
505,98,86
217,111,132
750,84,107
763,81,108
240,85,112
328,89,118
215,93,167
370,93,101
67,77,157
166,100,79
18,111,139
223,35,74
569,83,110
681,79,114
212,90,105
631,86,102
214,84,117
83,106,94
462,82,117
744,71,114
757,97,133
582,37,42
334,85,109
202,54,100
266,97,118
426,89,113
391,89,112
672,93,163
326,106,130
708,92,144
249,76,98
750,83,108
174,90,87
621,94,126
442,93,106
129,78,59
194,99,93
258,97,143
387,84,150
148,128,71
470,121,58
256,81,105
666,86,81
620,94,149
35,36,177
103,22,171
224,100,128
223,36,156
196,88,87
207,25,66
217,83,112
782,74,154
157,96,122
533,78,104
573,65,107
85,117,137
717,60,119
319,102,129
523,73,122
236,105,129
181,100,175
179,104,131
600,59,133
320,72,156
175,98,140
78,110,128
307,93,103
433,25,143
585,83,104
130,119,166
4,36,199
575,48,150
62,19,76
363,79,116
452,95,76
421,27,71
404,70,117
475,92,124
707,89,103
42,91,104
319,71,105
537,95,148
717,53,143
581,78,108
684,103,151
185,30,152
391,99,100
297,114,147
325,92,103
217,29,54
760,91,101
158,116,144
277,69,167
784,86,123
771,68,139
683,90,153
204,106,80
622,75,106
306,80,107
222,37,172
509,87,122
684,99,141
212,101,125
257,113,65
262,77,112
336,87,118
324,94,94
504,79,117
785,70,108
158,97,126
346,94,100
729,76,108
784,79,90
82,96,94
149,102,141
555,87,114
765,64,115
610,86,111
57,27,73
722,93,154
735,84,114
702,67,109
296,18,84
323,88,111
709,94,75
774,86,132
120,75,111
221,106,88
614,95,138
746,93,99
566,86,102
241,69,105
431,88,84
778,66,110
443,98,98
499,82,109
197,83,101
738,76,109
473,99,134
680,77,116
728,80,104
637,76,118
448,89,106
635,99,75
53,53,194
326,89,116
645,84,70
399,83,121
285,65,115
122,87,120
670,32,67
470,98,85
471,92,106
151,49,138
524,74,106
206,36,49
739,103,145
227,72,104
71,94,104
545,75,112
362,75,108
384,93,101
377,100,143
521,90,109
142,98,125
148,24,48
625,89,73
704,73,121
267,80,113
129,67,110
176,41,174
183,55,111
674,88,129
509,79,92
232,59,87
3,87,113
33,81,108
194,121,83
