z,x,y
740,76,66
66,98,103
717,108,72
745,73,47
284,57,51
699,72,130
592,101,169
641,96,127
674,66,155
132,61,137
296,96,160
504,90,175
432,85,64
405,79,36
182,63,51
681,112,62
645,118,47
365,122,173
374,86,42
176,104,145
789,94,75
86,84,64
634,73,168
602,78,75
607,67,93
568,83,105
568,91,43
749,92,165
590,69,91
754,92,68
321,111,134
366,64,79
628,82,31
171,67,109
133,88,113
564,107,142
640,94,177
102,108,166
102,107,149
205,72,74
237,77,161
92,64,146
102,59,52
520,83,40
678,116,197
592,99,95
743,88,62
744,70,151
0,0,0
637,90,50
254,82,158
89,83,135
388,78,70
224,73,63
128,65,86
144,101,166
566,57,84
282,92,158
298,116,66
684,78,143
752,75,68
143,69,78
703,70,80
133,93,52
696,80,40
736,82,177
432,94,197
167,80,51
493,68,64
727,84,115
624,79,63
786,66,147
199,98,161
704,88,180
745,95,64
68,61,61
777,95,71
300,69,59
570,81,191
79,99,56
175,103,76
757,85,122
670,84,120
376,97,44
273,86,76
570,81,58
128,96,158
92,95,141
248,91,162
735,88,60
731,70,164
190,84,113
223,108,160
617,78,126
753,84,157
168,98,78
157,78,70
706,100,181
188,126,149
302,96,142
81,80,68
441,116,172
297,65,93
735,80,175
224,71,162
423,99,103
531,102,81
237,85,169
267,95,90
230,56,81
165,82,59
774,63,174
11,71,140
677,113,176
310,103,73
674,89,37
508,65,134
236,102,78
692,71,69
715,72,178
778,78,80
677,88,39
96,84,60
444,95,52
401,118,83
486,67,137
251,119,168
710,62,46
118,74,85
592,106,30
453,79,35
73,106,154
571,78,69
249,64,164
329,63,62
504,94,29
583,122,53
238,100,62
281,77,69
786,96,156
273,90,78
680,69,60
250,81,53
323,41,77
545,86,155
402,98,31
684,74,74
87,69,169
689,100,177
264,73,150
762,60,82
566,50,151
763,101,182
747,92,166
748,78,63
702,77,47
298,81,171
577,71,172
331,98,55
32,92,152
658,107,39
232,64,85
89,107,65
764,99,153
323,63,49
198,97,119
555,91,32
385,82,163
233,94,150
328,63,72
709,112,66
738,82,110
680,90,189
88,102,168
744,77,78
125,90,63
747,86,84
589,68,174
766,84,69
196,104,73
777,76,80
705,79,78
680,73,67
530,97,28
0,0,0
65,95,69
285,75,139
730,76,47
301,74,177
420,99,48
70,116,140
658,126,180
55,110,155
119,75,52
731,79,112
171,112,91
527,107,163
538,87,45
205,109,72
708,70,151
0,0,0
758,86,149
758,64,51
232,126,73
331,119,58
80,117,63
675,89,70
768,72,159
79,94,103
103,86,170
538,81,165
278,70,164
750,107,176
0,0,0
754,72,59
729,83,162
33,80,47
102,92,151
733,84,120
286,91,173
702,107,159
329,80,138
495,118,157
222,96,152
348,79,184
445,79,137
119,107,156
506,71,172
354,80,186
182,110,53
0,0,0
727,89,163
525,78,179
321,95,117
601,113,25
165,121,135
292,88,173
688,81,169
701,101,68
336,97,36
266,74,156
383,105,84
97,77,76
781,106,70
422,86,192
292,68,172
703,92,177
225,108,147
234,90,160
761,70,65
732,77,52
641,102,56
123,74,79
644,61,164
223,89,117
313,62,80
512,65,62
228,80,150
777,100,80
470,87,33
6,97,125
102,116,70
98,116,69
265,118,66
692,113,175
504,94,49
166,110,153
769,91,147
526,85,153
789,83,105
212,84,162
353,74,186
89,58,161
739,87,150
124,56,134
280,76,169
709,71,70
0,0,0
251,88,150
541,107,87
191,123,155
103,104,169
786,108,165
0,0,0
121,85,172
610,111,168
307,64,167
653,110,52
559,69,132
