z,x,y
269,76,147
83,60,104
680,91,143
248,103,92
0,0,0
228,114,87
466,123,176
109,74,79
591,76,74
477,105,178
783,68,113
225,79,126
735,83,79
372,88,129
744,61,139
346,74,113
195,55,70
676,88,99
87,68,92
202,89,95
103,86,140
215,89,65
97,79,106
502,87,125
604,73,96
154,112,134
434,99,161
492,87,52
33,45,163
538,93,84
410,83,91
250,41,39
619,95,96
648,94,162
206,88,90
145,55,66
670,73,108
614,78,78
157,116,81
66,76,107
733,76,136
551,83,140
500,85,139
472,84,73
320,88,128
130,62,162
658,69,141
748,61,53
213,117,139
158,75,102
125,97,75
775,77,119
478,103,175
571,96,130
236,83,137
702,69,89
656,73,136
328,111,92
349,95,164
313,85,96
225,123,141
503,80,138
189,48,69
772,70,88
761,78,86
713,91,139
247,96,76
91,120,79
662,88,143
603,92,172
388,83,160
306,37,186
0,0,0
0,0,0
469,81,135
268,38,59
682,84,87
536,92,137
789,82,99
563,86,36
427,87,98
472,75,107
434,107,50
653,72,63
381,90,178
371,92,96
782,71,92
785,70,120
400,90,167
751,80,88
768,61,140
722,72,147
578,99,193
501,107,46
287,80,98
229,90,134
381,72,156
273,64,150
714,94,83
470,86,99
429,86,71
352,85,69
201,106,173
177,87,121
731,61,85
56,84,90
306,47,62
787,77,86
333,82,70
93,66,114
226,76,144
618,80,65
486,121,176
72,94,142
513,78,110
710,105,69
184,94,142
0,0,0
348,96,173
529,95,65
580,87,90
509,104,196
140,118,79
99,92,136
776,73,128
398,94,53
122,70,139
769,95,168
359,88,143
492,81,79
551,88,133
383,90,98
65,49,152
556,82,58
147,48,64
618,90,166
768,93,173
0,0,0
201,86,142
536,78,105
605,74,80
227,62,70
558,92,149
394,95,197
608,97,50
183,59,80
514,96,62
91,60,153
775,76,180
384,104,62
787,76,107
505,81,82
155,68,76
279,96,79
111,104,140
634,103,83
583,77,153
160,74,134
537,91,133
723,78,87
10,79,123
563,41,168
79,66,72
516,98,148
459,112,189
314,117,171
347,70,151
167,106,68
296,48,160
97,118,82
437,81,128
308,68,96
73,87,137
371,78,106
722,66,142
59,84,141
396,101,176
553,75,130
109,94,127
53,91,128
674,42,153
413,100,95
203,92,139
512,73,165
448,104,196
352,108,165
630,100,159
96,50,164
618,93,68
256,62,143
739,92,136
421,119,184
680,96,65
447,95,98
611,106,174
127,100,139
638,75,135
142,79,86
474,95,149
95,78,136
8,33,170
767,86,98
516,65,109
459,81,121
336,107,192
295,63,142
207,81,68
535,84,102
680,75,105
471,105,159
572,97,96
420,94,52
228,115,138
322,67,92
499,120,168
466,105,176
584,82,69
310,58,111
274,66,62
756,74,137
452,112,44
534,98,155
153,64,80
768,72,85
242,74,76
357,87,77
737,74,92
511,97,183
162,52,143
448,65,70
567,82,89
778,48,159
247,96,122
702,82,124
236,66,81
183,65,70
550,95,163
608,81,104
84,70,155
251,110,78
740,66,175
223,119,140
289,84,134
251,87,131
341,82,63
457,90,135
12,43,60
256,82,149
346,79,104
718,60,82
418,103,47
782,104,72
313,73,145
490,80,143
352,77,73
354,82,67
572,83,67
402,42,82
735,78,83
246,47,68
60,83,83
615,81,78
774,99,138
728,80,93
211,70,117
486,91,99
480,114,52
530,90,136
735,83,100
278,81,87
589,79,64
116,106,95
0,0,0
580,94,148
765,76,151
297,85,81
311,100,88
665,94,164
234,97,144
669,90,56
205,47,60
0,0,0
611,88,101
128,70,79
294,98,81
599,97,160
673,76,92
130,80,102
473,101,160
779,80,153
647,96,170
112,75,114
641,78,139
592,78,58
409,86,126
352,69,55
244,103,90
758,94,134
550,97,71
257,59,145
648,89,153
205,62,132
84,96,144
80,70,145
0,0,0
583,76,152
349,100,179
287,68,138
654,75,142
431,104,165
250,62,77
778,75,90
77,69,72
497,93,91
369,84,114
692,74,138
639,77,148
373,81,133
517,55,70
449,76,144
405,79,48
185,45,153
740,75,123
196,61,111
547,95,93
613,26,89
78,60,108
351,108,57
94,115,80
697,103,79
8,74,69
699,88,103
466,107,190
580,92,95
707,70,168
98,43,143
743,79,85
556,73,67
720,79,93
457,103,179
234,51,154
288,35,162
623,92,70
713,97,75
232,86,79
430,91,170
562,92,76
673,80,84
487,103,25
682,86,72
471,103,54
457,102,50
14,76,113
340,91,81
370,102,184
294,58,76
538,111,191
649,80,83
291,60,80
498,97,42
759,75,75
244,89,79
429,77,74
31,109,144
551,76,149
524,82,139
281,90,82
248,76,58
401,62,145
612,80,52
346,71,119
730,80,136
628,86,155
104,58,117
606,80,89
310,93,79
734,91,142
61,66,72
137,91,147
654,63,153
465,111,52
143,55,144
645,110,67
687,68,158
602,86,117
712,73,132
789,76,132
0,0,0
767,80,132
449,100,65
297,77,85
783,83,99
671,80,75
506,68,80
414,56,156
761,83,82
335,101,169
537,96,154
720,65,85
583,76,119
202,93,74
681,64,151
360,102,193
634,79,141
637,85,173
191,88,97
671,80,168
321,110,88
690,79,131
660,71,70
216,80,142
149,72,133
619,92,73
757,84,84
176,50,148
509,76,97
308,91,141
654,72,66
346,121,158
446,88,140
604,82,75
266,89,88
375,71,79
187,99,101
502,83,124
674,69,113
738,89,77
187,79,116
77,53,165
306,105,140
140,69,148
405,91,82
661,79,133
740,74,105
607,82,159
622,77,100
262,81,75
683,72,84
448,59,80
655,91,80
151,67,91
609,80,151
405,45,146
353,99,164
0,92,155
164,74,141
702,82,65
104,79,60
547,85,64
432,107,162
603,88,193
629,94,84
310,103,142
11,76,72
198,78,128
106,79,155
697,84,67
682,87,146
344,88,80
78,94,142
727,67,107
234,77,148
273,70,83
426,76,88
320,82,95
114,71,109
110,100,132
719,79,80
271,90,146
510,83,119
418,90,162
626,75,143
710,84,124
595,72,75
165,58,74
0,0,0
87,79,145
581,86,126
122,66,76
5,98,80
753,62,81
72,76,94
486,94,76
269,105,138
614,76,146
477,94,85
622,87,145
334,109,61
216,42,148
667,80,63
638,102,66
502,64,61
558,92,72
660,90,77
85,88,85
355,110,174
466,97,37
251,105,131
114,69,113
380,80,46
34,82,144
150,88,107
223,96,152
531,93,183
88,45,147
172,80,93
11,21,165
272,98,73
780,56,88
449,113,59
370,97,171
142,87,90
672,95,141
726,74,145
628,105,63
328,67,112
91,74,144
393,87,126
322,93,127
757,81,71
0,0,0
0,0,0
