767,83,81
783,71,109
761,75,53
771,109,170
767,73,131
785,104,146
777,85,145
764,83,162
761,68,162
765,75,166
787,97,164
772,76,165
762,105,57
772,108,156
765,100,88
777,82,114
778,105,149
779,67,132
780,111,164
780,73,133
780,107,166
763,58,142
765,84,167
784,91,161
762,91,77
761,72,50
774,107,82
775,79,68
767,86,172
774,56,86
778,95,153
766,108,181
788,68,58
774,92,129
776,71,70
782,101,46
777,58,101
782,92,133
787,67,68
770,93,76
785,91,147
767,89,161
784,105,161
781,91,72
762,69,62
767,71,60
767,68,64
773,96,148
764,109,156
772,95,147
773,67,77
789,103,136
783,99,64
761,95,38
762,68,58
777,73,89
762,69,52
788,80,164
774,73,54
766,74,146
780,68,158
789,109,64
768,71,158
772,64,168
775,66,65
768,106,75
787,93,149
778,104,72
775,71,148
774,68,75
789,76,142
773,92,141
782,94,70
785,63,59
778,95,146
784,65,67
788,90,97
788,108,168
782,112,76
776,95,94
767,84,178
773,71,63
789,87,175
774,70,52
772,76,171
773,90,84
762,93,178
786,93,62
780,63,62
772,83,155
786,97,88
789,80,148
788,78,74
769,80,103
787,86,159
772,104,66
781,101,142
762,108,76
776,96,147
787,105,71
768,68,50
774,109,148
773,77,71
764,84,168
784,68,165
778,104,63
768,102,73
789,81,104
779,79,167
773,102,177
761,73,58
761,71,156
785,69,170
770,71,69
773,73,62
776,92,146
783,86,101
765,110,72
775,61,88
786,57,65
774,108,148
779,106,148
780,110,169
783,103,168
772,70,132
763,97,134
780,87,67
762,75,45
785,84,150
773,69,41
777,87,147
773,73,144
770,71,177
761,106,166
770,88,156
765,72,54
761,89,59
777,96,99
778,98,168
768,66,48
784,88,66
762,73,58
768,76,171
776,59,83
764,75,144
786,64,132
784,89,80
763,66,171
771,73,49
775,83,164
772,96,72
766,73,60
762,72,110
765,92,76
786,99,76
779,68,84
781,107,149
786,77,76
785,86,89
787,62,172
771,108,158
778,84,92
775,75,139
789,95,65
783,95,157
789,87,144
778,112,80
783,83,61
787,85,144
785,69,166
779,69,167
785,88,154
788,96,50
775,78,54
785,66,178
764,75,82
784,93,93
766,92,78
771,91,65
783,72,157
779,95,91
762,92,60
775,85,72
768,73,156
762,107,154
780,86,160
771,69,173
763,64,116
785,102,63
761,70,163
761,76,161
766,80,172
772,82,56
766,78,161
772,75,174
779,74,161
782,89,158
776,80,134
768,103,166
761,92,84
762,72,182
786,81,178
765,91,175
769,78,54
785,97,141
761,73,102
770,69,174
761,94,138
765,100,130
764,95,184
768,65,168
784,65,139
764,78,84
771,78,52
765,72,141
764,61,155
772,75,85
761,66,47
775,108,150
777,107,144
767,91,135
787,89,163
762,93,154
788,90,82
772,88,144
780,79,154
787,73,143
770,97,165
776,87,149
786,89,175
783,96,149
786,94,164
768,78,160
782,97,140
782,96,172
787,86,72
765,90,143
789,72,73
788,103,91
784,95,94
761,105,155
787,71,66
786,94,71
779,69,62
782,77,152
779,76,158
775,88,78
778,64,124
771,96,63
762,69,174
762,92,64
780,70,66
777,67,65
765,90,132
775,74,164
789,89,72
766,74,70
775,102,53
780,57,96
774,88,79
778,68,76
779,90,143
773,86,173
773,61,77
766,64,161
779,108,82
768,103,148
772,60,163
766,57,86
786,69,65
767,61,164
770,68,143
787,101,91
765,73,172
769,64,60
780,78,108
789,66,69
776,70,95
766,67,149
778,66,64
773,69,129
767,66,106
789,77,170
780,70,165
777,84,94
785,53,62
763,107,166
769,90,164
772,79,57
777,96,78
782,108,67
770,88,85
778,80,160
782,90,142
775,74,160
787,106,160
785,85,106
779,89,150
786,89,163
772,88,135
782,105,149
782,86,65
785,69,150
762,84,50
770,83,164
770,99,154
769,78,62
781,107,69
766,85,163
782,68,161
781,91,67
767,82,103
781,82,174
764,110,154
786,86,121
780,102,141
768,74,59
783,82,66
773,106,160
771,79,57
788,90,160
782,96,152
780,78,165
768,69,56
780,72,61
772,68,74
772,75,178
773,76,165
778,94,150
766,96,176
763,108,48
766,103,141
776,60,79
780,76,109
763,80,76
764,104,155
788,83,73
772,74,169
772,70,131
784,94,155
764,79,101
768,82,72
775,92,71
768,92,135
765,84,145
783,81,173
785,101,68
784,69,128
786,70,151
768,72,148
771,60,90
785,68,72
764,71,148
766,90,78
767,71,57
762,79,93
764,81,162
783,71,167
766,77,167
765,73,155
786,87,143
787,96,67
766,79,171
783,70,60
787,83,104
783,58,68
764,86,164
762,92,179
761,80,167
784,79,70
771,74,57
788,104,152
781,93,153
787,90,175
784,69,61
771,98,157
782,84,165
778,96,151
778,67,157
784,84,56
764,68,47
772,64,168
772,73,45
763,102,137
767,74,163
764,80,170
779,75,166
776,83,105
779,92,159
777,68,69
773,75,153
762,72,165
782,71,66
787,76,58
776,63,81
789,69,69
783,72,160
780,104,66
776,77,167
770,81,141
789,97,58
788,91,75
762,97,82
764,81,49
785,72,162
765,91,154
767,71,168
761,73,144
771,92,42
780,70,61
777,80,170
768,80,140
764,71,52
767,94,71
774,73,146
773,88,166
765,87,137
783,68,58
788,85,102
762,71,50
785,72,44
769,62,91
785,95,90
767,97,62
789,76,71
776,100,149
761,91,148
762,74,62
789,95,127
766,78,69
769,73,84
779,97,151
770,76,135
767,104,75
787,82,76
775,62,60
772,90,103
769,85,162
786,72,144
766,72,58
788,101,164
788,86,121
761,71,56
784,69,134
771,76,155
776,64,74
783,78,160
765,75,166
773,78,136
765,99,75
787,87,167
766,72,65
783,90,78
771,89,156
778,96,86
787,67,63
766,64,139
776,103,72
768,83,58
768,82,176
768,70,48
764,89,70
767,80,78
769,79,154
787,86,146
780,77,53
765,69,152
787,91,158
761,99,140
765,92,162
763,96,42
761,76,54
771,90,77
763,69,177
778,72,53
789,93,143
784,107,161
764,64,141
768,67,88
781,76,88
780,83,79
786,92,160
786,74,88
786,84,73
781,82,133
764,98,167
782,84,80
788,61,63
785,106,156
787,90,60
766,97,64
776,79,152
772,99,67
772,105,160
788,100,131
762,83,123
779,75,70
771,68,170
782,109,153
779,70,169
781,88,139
789,105,88
773,64,124
783,90,136
789,93,179
762,83,77
761,92,75
784,82,153
762,68,149
769,72,64
766,84,81
787,92,152
781,96,132
769,77,181
781,100,148
768,97,152
789,104,150
768,92,87
785,84,89
777,59,67
786,112,67
